City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-08-11 14:44:04,-38.0023,-57.5575,55.94,72,0,13.8
1,Jamestown,US,2022-08-11 14:42:45,42.097,-79.2353,72.01,55,0,12.66
2,Mataura,NZ,2022-08-11 14:44:05,-46.1927,168.8643,28.4,97,8,2.33
3,Saskylakh,RU,2022-08-11 14:44:05,71.9167,114.0833,44.8,61,100,9.22
4,Lagoa,PT,2022-08-11 14:44:06,39.05,-27.9833,72.25,76,65,8.81
5,Mnogovershinnyy,RU,2022-08-11 14:44:07,53.9353,139.9242,52.97,99,100,1.95
6,Dutse,NG,2022-08-11 14:44:08,11.7594,9.3392,82.63,59,100,5.3
7,Rikitea,PF,2022-08-11 14:42:04,-23.1203,-134.9692,72.7,71,70,22.1
8,Caravelas,BR,2022-08-11 14:44:08,-17.7125,-39.2481,84.29,39,85,7.78
9,Vaini,TO,2022-08-11 14:44:09,-21.2,-175.2,71.76,94,75,8.05
10,Saint-Philippe,RE,2022-08-11 14:44:10,-21.3585,55.7679,69.39,78,40,13.78
11,Hede,CN,2022-08-11 14:44:11,33.7681,120.2517,76.55,91,100,9.6
12,Egvekinot,RU,2022-08-11 14:44:12,66.3167,-179.1667,46.49,97,100,3.8
13,Constitucion,CL,2022-08-11 14:44:12,-35.3333,-72.4167,54.46,62,0,2.84
14,Tuktoyaktuk,CA,2022-08-11 14:44:13,69.4541,-133.0374,48.2,93,100,10.36
15,Muswellbrook,AU,2022-08-11 14:44:13,-32.2667,150.9,49.33,81,100,3.58
16,Murree,PK,2022-08-11 14:44:14,33.9073,73.393,61.25,95,88,4.16
17,Neiafu,TO,2022-08-11 14:44:15,-18.65,-173.9833,79.48,89,75,8.05
18,Albany,US,2022-08-11 14:44:15,42.6001,-73.9662,78.26,60,88,4.68
19,Hermanus,ZA,2022-08-11 14:44:16,-34.4187,19.2345,61.81,75,100,16.91
20,Orel-Izumrud,RU,2022-08-11 14:44:16,43.4583,39.9244,84.22,65,20,7.0
21,Sibolga,ID,2022-08-11 14:44:17,1.7427,98.7792,76.44,81,60,3.65
22,Punta Arenas,CL,2022-08-11 14:44:17,-53.15,-70.9167,33.82,86,20,9.22
23,Bethel,US,2022-08-11 14:44:18,41.3712,-73.414,79.36,70,20,3.44
24,Marawi,PH,2022-08-11 14:44:19,7.9986,124.2928,69.06,88,30,1.57
25,Pouembout,NC,2022-08-11 14:44:19,-21.1333,164.9,60.84,72,6,4.76
26,Dikson,RU,2022-08-11 14:44:20,73.5069,80.5464,42.66,97,100,11.36
27,Nishihara,JP,2022-08-11 14:44:20,26.1842,127.7558,83.48,79,0,5.75
28,Bluff,NZ,2022-08-11 14:44:21,-46.6,168.3333,37.29,84,8,5.32
29,Wellington,NZ,2022-08-11 14:43:06,-41.2866,174.7756,47.86,94,75,23.02
30,Araouane,ML,2022-08-11 14:44:21,18.9048,-3.5265,103.14,23,1,4.76
31,Kampene,CD,2022-08-11 14:44:22,-3.6,26.6667,94.64,17,65,3.78
32,Port Alfred,ZA,2022-08-11 14:44:22,-33.5906,26.891,66.63,75,99,9.84
33,Lavrentiya,RU,2022-08-11 14:44:23,65.5833,-171.0,39.88,97,59,3.56
34,Kapaa,US,2022-08-11 14:44:23,22.0752,-159.319,75.52,88,0,16.11
35,Barrow,US,2022-08-11 14:44:24,71.2906,-156.7887,44.62,93,100,25.32
36,Tasiilaq,GL,2022-08-11 14:44:24,65.6145,-37.6368,39.36,78,58,3.4
37,Cape Town,ZA,2022-08-11 14:44:19,-33.9258,18.4232,61.12,73,40,13.8
38,Busselton,AU,2022-08-11 14:44:25,-33.65,115.3333,51.28,80,0,6.98
39,Katsuura,JP,2022-08-11 14:44:25,35.1333,140.3,80.37,87,32,22.66
40,Bayangol,RU,2022-08-11 14:44:26,50.6977,103.4656,52.36,85,61,4.34
41,Cabo San Lucas,MX,2022-08-11 14:44:27,22.8909,-109.9124,84.51,70,49,6.11
42,Hongjiang,CN,2022-08-11 14:44:27,27.11,109.9956,80.53,79,96,4.18
43,Butaritari,KI,2022-08-11 14:44:28,3.0707,172.7902,81.12,76,64,12.64
44,Ushuaia,AR,2022-08-11 14:45:28,-54.8,-68.3,35.26,93,75,2.3
45,Nikolskoye,RU,2022-08-11 14:45:29,59.7035,30.7861,77.88,49,100,9.48
46,Georgetown,MY,2022-08-11 14:43:50,5.4112,100.3354,84.15,84,20,3.44
47,Faanui,PF,2022-08-11 14:45:30,-16.4833,-151.75,77.43,75,10,8.84
48,Port Blair,IN,2022-08-11 14:45:31,11.6667,92.75,82.44,78,75,8.05
49,Matara,LK,2022-08-11 14:43:32,5.9485,80.5353,77.65,91,62,6.62
50,Atuona,PF,2022-08-11 14:44:34,-9.8,-139.0333,75.87,79,11,21.3
51,Qaanaaq,GL,2022-08-11 14:45:33,77.484,-69.3632,38.08,76,100,7.16
52,Chokurdakh,RU,2022-08-11 14:45:33,70.6333,147.9167,48.83,83,100,7.74
53,Telimele,GN,2022-08-11 14:45:34,10.9167,-13.3333,79.75,84,89,3.56
54,Torbay,CA,2022-08-11 14:43:19,47.6666,-52.7314,60.28,87,100,3.0
55,Aswan,EG,2022-08-11 14:45:35,24.0934,32.907,108.7,14,0,9.22
56,Kushmurun,KZ,2022-08-11 14:45:35,52.4503,64.6311,76.64,48,68,1.68
57,Hilo,US,2022-08-11 14:43:19,19.7297,-155.09,81.28,96,100,3.44
58,Inhambane,MZ,2022-08-11 14:45:36,-23.865,35.3833,76.98,69,0,9.22
59,Butzow,DE,2022-08-11 14:45:37,53.85,11.9833,84.65,26,8,8.48
60,Talnakh,RU,2022-08-11 14:45:37,69.4865,88.3972,54.21,72,58,2.35
61,Biak,ID,2022-08-11 14:45:38,-0.9131,122.8766,75.99,88,43,0.45
62,Bredasdorp,ZA,2022-08-11 14:45:39,-34.5322,20.0403,60.91,67,100,8.21
63,Klaksvik,FO,2022-08-11 14:45:40,62.2266,-6.589,56.32,73,45,13.65
64,Maceio,BR,2022-08-11 14:45:40,-9.6658,-35.7353,81.84,74,75,6.91
65,Vokhtoga,RU,2022-08-11 14:45:41,58.8147,41.0461,69.71,50,84,8.5
66,Puerto Del Rosario,ES,2022-08-11 14:45:42,28.5004,-13.8627,78.55,69,20,18.41
67,Kodiak,US,2022-08-11 14:45:42,57.79,-152.4072,54.91,94,100,6.91
68,Puerto Ayora,EC,2022-08-11 14:45:43,-0.7393,-90.3518,73.36,95,100,7.0
