City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Severnyy,RU,84.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
5,Atuona,PF,77.52,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
9,Bontang,ID,78.82,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
13,Skegness,GB,79.02,overcast clouds,53.1436,0.3363,The Royal Hotel
19,Baiao,BR,94.71,clear sky,-2.7906,-49.6717,Município de Baião
28,Palmer,US,84.25,overcast clouds,42.1584,-72.3287,Wedgewood Motel
33,Paka,MY,80.78,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
41,Kulevcha,UA,82.76,overcast clouds,46.0303,29.9361,Гостевой дом «Болгарский двор»
45,Dingle,PH,75.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
50,Chenzhou,CN,82.92,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
53,Nikolskoye,RU,82.29,few clouds,59.7035,30.7861,Tourist House - Sablino
54,Nurota,UZ,88.02,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
57,Sao Mateus,BR,77.32,broken clouds,-18.7161,-39.8589,Hotel Rio Norte
58,Sanmenxia,CN,82.83,few clouds,34.7747,111.1814,Pengzhou Hotel
59,Rajaldesar,IN,86.07,light rain,28.0333,74.4667,Shree karni resorts rajana rajaldesar
66,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
68,Tamandare,BR,79.32,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
72,Ponta Do Sol,PT,82.71,scattered clouds,32.6667,-17.1,Hotel do Campo
73,Georgetown,MY,86.9,moderate rain,5.4112,100.3354,Cititel Penang
74,Monte Alegre,BR,92.26,clear sky,-2.0078,-54.0692,Hotel Shekinah
75,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
76,Jamestown,US,75.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Sao Filipe,CV,78.66,overcast clouds,14.8961,-24.4956,Hotel Xaguate
84,Tambopata,PE,89.49,clear sky,-12.7333,-69.1833,Enashawa Lodge
85,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
88,Finschhafen,PG,78.1,overcast clouds,-6.6024,147.8681,Cossam Guest House
91,Vaxjo,SE,83.57,broken clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
96,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
100,Waspan,NI,82.24,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
103,Moussoro,TD,80.85,light rain,13.6408,16.4901,Pharmacie alnadja Moussoro
104,Ribeira Grande,PT,81.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
105,Road Town,VG,87.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
106,Toppenish,US,78.71,clear sky,46.3774,-120.3087,Legends Casino Hotel
107,Marsa Matruh,EG,81.73,clear sky,31.3525,27.2453,Beau Site
109,Westport,US,83.44,clear sky,41.1415,-73.3579,The Westport Inn
110,Olonets,RU,76.42,clear sky,60.9847,32.9698,Country House on Savodaya 9
111,Jining,CN,79.43,scattered clouds,35.405,116.5814,Yunhe Star Hotel
112,Touros,BR,82.53,clear sky,-5.1989,-35.4608,INN NEW HORIZON
117,La Tuque,CA,75.45,scattered clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
118,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
119,Bandarbeyla,SO,77.13,overcast clouds,9.4942,50.8122,JABIR HOTEL
