City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,39,13.11,2022-08-15 16:11:51,scattered clouds
1,Yellowknife,CA,62.456,-114.3525,67.19,67,0,7.49,2022-08-15 16:11:51,clear sky
2,Namtsy,RU,62.7161,129.6658,55.49,98,48,5.03,2022-08-15 16:11:52,scattered clouds
3,Busselton,AU,-33.65,115.3333,65.03,93,100,27.04,2022-08-15 16:11:52,overcast clouds
4,Severnyy,RU,50.677,36.5532,84.24,39,0,13.42,2022-08-15 16:11:52,clear sky
5,Atuona,PF,-9.8,-139.0333,77.52,65,15,20.85,2022-08-15 16:11:53,few clouds
6,Yuli,NG,9.6989,10.2744,73.44,92,100,4.76,2022-08-15 16:11:53,light rain
7,Avarua,CK,-21.2078,-159.775,69.85,68,75,11.5,2022-08-15 16:11:53,broken clouds
8,Porto Novo,BJ,6.4965,2.6036,74.48,89,100,10.22,2022-08-15 16:11:54,overcast clouds
9,Bontang,ID,0.1333,117.5,78.82,85,100,7.36,2022-08-15 16:11:54,overcast clouds
10,Mvangue,CM,2.9667,11.5167,78.24,60,80,5.19,2022-08-15 16:11:54,broken clouds
11,Tiksi,RU,71.6872,128.8694,45.64,90,37,6.24,2022-08-15 16:11:55,scattered clouds
12,Hermanus,ZA,-34.4187,19.2345,55.8,57,100,4.99,2022-08-15 16:11:55,overcast clouds
13,Skegness,GB,53.1436,0.3363,79.02,62,100,6.15,2022-08-15 16:11:56,overcast clouds
14,Talnakh,RU,69.4865,88.3972,61.21,56,100,4.12,2022-08-15 16:11:56,overcast clouds
15,Hobart,AU,-42.8794,147.3294,49.26,95,75,6.91,2022-08-15 16:10:17,broken clouds
16,Ambanja,MG,-13.6833,48.45,73.17,79,39,1.86,2022-08-15 16:11:56,light rain
17,Ushuaia,AR,-54.8,-68.3,38.82,81,40,5.75,2022-08-15 16:11:57,scattered clouds
18,Castro,BR,-24.7911,-50.0119,73.42,45,0,13.13,2022-08-15 16:11:57,clear sky
19,Baiao,BR,-2.7906,-49.6717,94.71,32,7,4.85,2022-08-15 16:11:57,clear sky
20,Rikitea,PF,-23.1203,-134.9692,73.4,75,1,20.94,2022-08-15 16:11:58,clear sky
21,Barrow,US,71.2906,-156.7887,33.82,93,100,18.41,2022-08-15 16:11:58,light rain
22,Oktyabrskiy,RU,54.4815,53.471,63.63,59,0,4.29,2022-08-15 16:11:58,clear sky
23,Provideniya,RU,64.3833,-173.3,43.59,91,100,8.7,2022-08-15 16:11:59,light rain
24,Pevek,RU,69.7008,170.3133,33.66,94,100,2.93,2022-08-15 16:11:59,overcast clouds
25,Saskylakh,RU,71.9167,114.0833,43.43,91,1,5.08,2022-08-15 16:11:13,clear sky
26,Luderitz,NA,-26.6481,15.1594,61.9,51,9,6.49,2022-08-15 16:12:00,clear sky
27,Charters Towers,AU,-20.1,146.2667,52.99,37,35,7.23,2022-08-15 16:12:00,scattered clouds
28,Palmer,US,42.1584,-72.3287,84.25,44,98,1.01,2022-08-15 16:09:33,overcast clouds
29,Mae Sai,TH,20.4335,99.8762,73.63,98,95,1.79,2022-08-15 16:10:21,overcast clouds
30,Iquique,CL,-20.2208,-70.1431,60.84,66,41,8.3,2022-08-15 16:12:01,scattered clouds
31,Cherskiy,RU,68.75,161.3,37.54,87,5,1.32,2022-08-15 16:12:01,clear sky
32,Puerto Madryn,AR,-42.7692,-65.0385,51.66,39,14,26.51,2022-08-15 16:12:01,few clouds
33,Paka,MY,4.6374,103.4368,80.78,82,98,2.95,2022-08-15 16:12:02,overcast clouds
34,Ancud,CL,-41.8697,-73.8203,44.53,94,100,26.08,2022-08-15 16:12:03,moderate rain
35,Mataura,NZ,-46.1927,168.8643,41.81,76,100,4.34,2022-08-15 16:12:03,overcast clouds
36,Vaini,TO,-21.2,-175.2,71.76,78,40,13.8,2022-08-15 16:12:04,scattered clouds
37,Sioux Lookout,CA,50.1001,-91.917,69.03,70,89,7.94,2022-08-15 16:12:05,overcast clouds
38,Fortuna,US,40.5982,-124.1573,60.35,94,100,3.44,2022-08-15 16:12:05,overcast clouds
39,Kununurra,AU,-15.7667,128.7333,58.98,47,14,4.61,2022-08-15 16:12:05,few clouds
40,Vao,NC,-22.6667,167.4833,72.82,83,100,19.01,2022-08-15 16:12:06,light rain
41,Kulevcha,UA,46.0303,29.9361,82.76,52,100,4.81,2022-08-15 16:12:07,overcast clouds
42,Haines Junction,CA,60.7522,-137.5108,51.15,81,100,4.97,2022-08-15 16:12:07,overcast clouds
43,Mursalimkino,RU,55.0379,58.5585,55.69,79,4,3.62,2022-08-15 16:12:08,clear sky
44,La Ronge,CA,55.1001,-105.2842,65.61,82,86,3.11,2022-08-15 16:12:08,overcast clouds
45,Dingle,PH,10.9995,122.6711,75.63,86,99,5.79,2022-08-15 16:12:09,overcast clouds
46,Grand Gaube,MU,-20.0064,57.6608,70.38,70,97,7.0,2022-08-15 16:12:09,overcast clouds
47,Upernavik,GL,72.7868,-56.1549,43.7,87,88,3.85,2022-08-15 16:13:10,overcast clouds
48,Cidreira,BR,-30.1811,-50.2056,63.73,90,100,3.38,2022-08-15 16:13:10,light rain
49,Ihosy,MG,-22.4,46.1167,73.65,37,37,3.15,2022-08-15 16:13:11,scattered clouds
50,Chenzhou,CN,25.8,113.0333,82.92,74,92,4.94,2022-08-15 16:13:11,overcast clouds
51,Bluff,NZ,-46.6,168.3333,44.83,71,100,7.18,2022-08-15 16:13:11,overcast clouds
52,Punta Arenas,CL,-53.15,-70.9167,39.31,75,100,17.27,2022-08-15 16:09:17,light rain
53,Nikolskoye,RU,59.7035,30.7861,82.29,53,14,3.51,2022-08-15 16:13:13,few clouds
54,Nurota,UZ,40.5614,65.6886,88.02,16,0,9.06,2022-08-15 16:13:13,clear sky
55,Qaanaaq,GL,77.484,-69.3632,40.23,90,100,6.87,2022-08-15 16:13:13,overcast clouds
56,Saint-Joseph,RE,-21.3667,55.6167,70.18,75,19,10.13,2022-08-15 16:13:14,few clouds
57,Sao Mateus,BR,-18.7161,-39.8589,77.32,48,63,9.17,2022-08-15 16:13:14,broken clouds
58,Sanmenxia,CN,34.7747,111.1814,82.83,38,21,1.99,2022-08-15 16:13:15,few clouds
59,Rajaldesar,IN,28.0333,74.4667,86.07,64,100,11.79,2022-08-15 16:13:16,light rain
60,Norman Wells,CA,65.282,-126.8329,66.33,75,100,2.91,2022-08-15 16:13:16,overcast clouds
61,Launceston,AU,-41.45,147.1667,45.16,93,56,1.01,2022-08-15 16:13:17,broken clouds
62,Aklavik,CA,68.2191,-135.0107,50.0,93,100,3.44,2022-08-15 16:13:17,light intensity drizzle
63,Zyryanka,RU,65.75,150.85,43.66,82,7,3.47,2022-08-15 16:13:17,clear sky
64,Iqaluit,CA,63.7506,-68.5145,45.7,70,97,17.0,2022-08-15 16:13:18,overcast clouds
65,Emerald,AU,-23.5333,148.1667,53.35,60,0,9.1,2022-08-15 16:13:19,clear sky
66,Hasaki,JP,35.7333,140.8333,81.28,91,100,18.68,2022-08-15 16:13:19,overcast clouds
67,Thompson,CA,55.7435,-97.8558,71.94,44,0,7.23,2022-08-15 16:13:19,clear sky
68,Tamandare,BR,-8.7597,-35.1047,79.32,62,49,13.4,2022-08-15 16:13:20,scattered clouds
69,Tasiilaq,GL,65.6145,-37.6368,51.96,70,40,1.92,2022-08-15 16:13:20,scattered clouds
70,Neuquen,AR,-38.9516,-68.0591,51.69,30,0,8.05,2022-08-15 16:13:21,clear sky
71,Khatanga,RU,71.9667,102.5,55.31,59,12,6.46,2022-08-15 16:13:21,few clouds
72,Ponta Do Sol,PT,32.6667,-17.1,82.71,81,31,8.3,2022-08-15 16:13:22,scattered clouds
73,Georgetown,MY,5.4112,100.3354,86.9,72,20,0.0,2022-08-15 16:11:31,moderate rain
74,Monte Alegre,BR,-2.0078,-54.0692,92.26,40,1,6.08,2022-08-15 16:13:22,clear sky
75,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,2022-08-15 16:13:23,overcast clouds
76,Jamestown,US,42.097,-79.2353,75.02,52,100,9.22,2022-08-15 16:06:48,overcast clouds
77,Nanortalik,GL,60.1432,-45.2371,47.66,87,100,3.94,2022-08-15 16:13:24,overcast clouds
78,Sao Filipe,CV,14.8961,-24.4956,78.66,71,94,8.01,2022-08-15 16:13:24,overcast clouds
79,Albany,US,42.6001,-73.9662,82.17,51,19,1.01,2022-08-15 16:11:55,few clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,100,6.91,2022-08-15 16:13:25,overcast clouds
81,Bilibino,RU,68.0546,166.4372,36.32,88,10,4.74,2022-08-15 16:13:25,clear sky
82,Havre-Saint-Pierre,CA,50.2334,-63.5986,65.93,74,7,12.68,2022-08-15 16:13:26,clear sky
83,Chokurdakh,RU,70.6333,147.9167,42.28,62,10,8.88,2022-08-15 16:13:26,clear sky
84,Tambopata,PE,-12.7333,-69.1833,89.49,55,0,8.05,2022-08-15 16:13:27,clear sky
85,Vila Velha,BR,-20.3297,-40.2925,78.75,69,40,16.11,2022-08-15 16:10:51,scattered clouds
86,Upington,ZA,-28.4478,21.2561,61.09,16,2,8.19,2022-08-15 16:13:28,clear sky
87,Lebu,CL,-37.6167,-73.65,49.98,75,96,20.62,2022-08-15 16:13:28,light rain
88,Finschhafen,PG,-6.6024,147.8681,78.1,85,87,6.02,2022-08-15 16:13:28,overcast clouds
89,Chuy,UY,-33.6971,-53.4616,66.24,86,100,7.47,2022-08-15 16:13:29,overcast clouds
90,New Norfolk,AU,-42.7826,147.0587,48.92,86,53,3.36,2022-08-15 16:14:29,broken clouds
91,Vaxjo,SE,56.8777,14.8091,83.57,54,75,6.91,2022-08-15 16:14:30,broken clouds
92,Kodiak,US,57.79,-152.4072,54.91,88,100,5.75,2022-08-15 16:14:30,overcast clouds
93,Severo-Kurilsk,RU,50.6789,156.125,55.17,93,97,17.52,2022-08-15 16:14:30,overcast clouds
94,Ilulissat,GL,69.2167,-51.1,55.42,54,75,16.11,2022-08-15 16:14:31,broken clouds
95,Dikson,RU,73.5069,80.5464,41.83,98,100,15.32,2022-08-15 16:14:31,overcast clouds
96,Saint-Francois,FR,46.4154,3.9054,80.04,41,0,10.36,2022-08-15 16:14:32,clear sky
97,Kurilsk,RU,45.2333,147.8833,60.62,95,100,8.28,2022-08-15 16:14:32,moderate rain
98,Bathurst,AU,-33.4166,149.5806,43.83,96,100,6.29,2022-08-15 16:11:27,overcast clouds
99,Stykkisholmur,IS,65.0757,-22.7297,48.31,60,48,4.72,2022-08-15 16:14:33,scattered clouds
100,Waspan,NI,14.7419,-83.9717,82.24,80,90,5.17,2022-08-15 16:14:33,overcast clouds
101,Lavrentiya,RU,65.5833,-171.0,36.81,82,100,4.5,2022-08-15 16:14:33,overcast clouds
102,Port Elizabeth,ZA,-33.918,25.5701,56.1,85,0,4.61,2022-08-15 16:14:34,clear sky
103,Moussoro,TD,13.6408,16.4901,80.85,70,100,6.71,2022-08-15 16:14:34,light rain
104,Ribeira Grande,PT,38.5167,-28.7,81.0,61,20,10.36,2022-08-15 16:14:35,few clouds
105,Road Town,VG,18.4167,-64.6167,87.89,73,13,9.15,2022-08-15 16:11:15,few clouds
106,Toppenish,US,46.3774,-120.3087,78.71,30,4,1.74,2022-08-15 16:14:35,clear sky
107,Marsa Matruh,EG,31.3525,27.2453,81.73,70,0,14.16,2022-08-15 16:10:55,clear sky
108,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,62,0,17.27,2022-08-15 16:14:36,clear sky
109,Westport,US,41.1415,-73.3579,83.44,57,0,9.22,2022-08-15 16:09:37,clear sky
110,Olonets,RU,60.9847,32.9698,76.42,59,10,3.58,2022-08-15 16:14:36,clear sky
111,Jining,CN,35.405,116.5814,79.43,87,47,4.92,2022-08-15 16:14:36,scattered clouds
112,Touros,BR,-5.1989,-35.4608,82.53,55,6,19.93,2022-08-15 16:14:37,clear sky
113,Kiruna,SE,67.8557,20.2251,61.72,72,20,11.5,2022-08-15 16:14:37,few clouds
114,Bredasdorp,ZA,-34.5322,20.0403,50.77,67,99,5.99,2022-08-15 16:14:37,overcast clouds
115,Avera,US,33.194,-82.5271,84.54,44,100,9.66,2022-08-15 16:14:38,overcast clouds
116,Kruisfontein,ZA,-34.0033,24.7314,53.89,70,91,8.59,2022-08-15 16:14:38,overcast clouds
117,La Tuque,CA,47.4334,-72.7824,75.45,41,37,2.3,2022-08-15 16:14:39,scattered clouds
118,Pemba,MZ,-12.974,40.5178,77.7,78,20,14.97,2022-08-15 16:14:39,few clouds
119,Bandarbeyla,SO,9.4942,50.8122,77.13,81,92,30.85,2022-08-15 16:14:39,overcast clouds
120,Karasjok,NO,69.4719,25.5112,63.25,70,100,4.12,2022-08-15 16:14:40,overcast clouds
121,Aleksandrovka,UA,46.8383,32.7612,79.34,55,100,7.78,2022-08-15 16:14:40,light rain
122,Esperance,AU,-33.8667,121.9,65.34,52,100,21.88,2022-08-15 16:14:41,light rain
123,Dwarka,IN,22.2394,68.9678,80.96,85,100,14.47,2022-08-15 16:11:56,overcast clouds
124,Padang,ID,-0.9492,100.3543,77.92,86,56,3.56,2022-08-15 16:14:41,broken clouds
125,Singkawang,ID,0.9,109.0,78.76,82,81,3.8,2022-08-15 16:14:41,broken clouds
126,Vila,PT,42.0304,-8.1588,69.69,57,73,10.69,2022-08-15 16:14:42,broken clouds
127,Husavik,IS,66.0449,-17.3389,44.91,79,90,14.76,2022-08-15 16:14:42,overcast clouds
128,Kavieng,PG,-2.5744,150.7967,80.06,78,100,7.18,2022-08-15 16:14:42,overcast clouds
129,Kalmunai,LK,7.4167,81.8167,81.91,74,83,11.21,2022-08-15 16:14:43,broken clouds
130,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,11.5,2022-08-15 16:14:43,light rain
131,Kapaa,US,22.0752,-159.319,74.12,90,40,10.36,2022-08-15 16:14:44,scattered clouds
132,Kamaishi,JP,39.2667,141.8833,73.31,94,100,7.7,2022-08-15 16:14:44,overcast clouds
133,Tura,IN,25.5198,90.2201,75.52,91,16,4.76,2022-08-15 16:14:44,few clouds
134,Kaitangata,NZ,-46.2817,169.8464,41.88,86,100,5.88,2022-08-15 16:14:45,overcast clouds
135,Pisco,PE,-13.7,-76.2167,68.05,64,1,9.22,2022-08-15 16:14:45,haze
136,Port Lincoln,AU,-34.7333,135.8667,53.98,75,82,9.62,2022-08-15 16:15:46,broken clouds
137,Roebourne,AU,-20.7833,117.1333,73.47,75,0,4.65,2022-08-15 16:15:46,light rain
138,Meulaboh,ID,4.1363,96.1285,78.46,82,94,3.22,2022-08-15 16:15:47,overcast clouds
139,Kahului,US,20.8947,-156.47,76.84,73,0,5.75,2022-08-15 16:15:48,clear sky
140,Christiana,ZA,-27.914,25.1611,50.22,19,2,5.79,2022-08-15 16:15:48,clear sky
141,Gorgan,IR,36.8387,54.4348,84.16,70,0,9.22,2022-08-15 16:15:49,clear sky
142,Hangu,CN,39.2489,117.7892,77.04,86,2,9.4,2022-08-15 16:15:49,clear sky
143,Katherine,AU,-14.4667,132.2667,55.72,30,35,5.75,2022-08-15 16:15:49,scattered clouds
144,Kieta,PG,-6.2167,155.6333,77.76,83,72,2.24,2022-08-15 16:15:50,broken clouds
145,Hami,CN,42.8,93.45,85.57,17,1,4.45,2022-08-15 16:15:50,clear sky
146,Nemuro,JP,43.3236,145.575,65.7,96,100,8.12,2022-08-15 16:15:51,light rain
147,Itaituba,BR,-4.2761,-55.9836,93.36,52,20,11.5,2022-08-15 16:15:51,few clouds
148,Sao Tome,ST,0.3365,6.7273,75.13,74,61,11.27,2022-08-15 16:15:51,broken clouds
149,Dawlatabad,AF,36.4141,64.9053,88.36,11,0,7.02,2022-08-15 16:15:52,clear sky
150,Victoria,HK,22.2855,114.1577,86.38,81,94,8.99,2022-08-15 16:12:36,overcast clouds
151,Santa Cruz,BO,-17.8,-63.1667,87.85,45,20,32.21,2022-08-15 16:15:52,few clouds
152,Saint George,US,37.1041,-113.5841,80.94,68,0,3.44,2022-08-15 16:15:53,clear sky
153,Uarini,BR,-2.99,-65.1083,92.91,43,2,4.0,2022-08-15 16:15:53,clear sky
154,Airai,TL,-8.9266,125.4092,55.42,86,68,2.48,2022-08-15 16:15:53,broken clouds
155,Mogadishu,SO,2.0371,45.3438,76.3,85,100,14.52,2022-08-15 16:15:54,overcast clouds
156,Biltine,TD,14.5333,20.9167,76.66,83,81,11.3,2022-08-15 16:15:54,heavy intensity rain
157,Utica,US,43.1009,-75.2327,80.69,56,62,1.01,2022-08-15 16:15:54,broken clouds
158,Sovetskiy,RU,61.3614,63.5842,55.92,61,98,4.63,2022-08-15 16:15:55,overcast clouds
159,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,14.97,2022-08-15 16:15:55,scattered clouds
160,Savelugu,GH,9.6244,-0.8253,78.31,81,100,7.52,2022-08-15 16:15:55,overcast clouds
161,Daru,PG,-9.0763,143.2092,76.59,85,91,10.27,2022-08-15 16:15:56,overcast clouds
